compound_id,pec50
OADMET-0006617,3.515
OADMET-0006615,5.335
OADMET-0006612,4.28
OADMET-0006610,4.949999999999999
OADMET-0006609,2.015
OADMET-0006606,5.49
OADMET-0006604,4.715
OADMET-0006603,2.275
OADMET-0006600,3.99
OADMET-0006599,2.3600000000000003
OADMET-0006597,5.215
OADMET-0006596,4.89
OADMET-0006593,4.46
OADMET-0006589,3.42
OADMET-0006587,5.31
OADMET-0006585,4.215
OADMET-0006582,4.67
OADMET-0006581,5.395
OADMET-0006580,5.265
OADMET-0006579,5.15
OADMET-0006578,4.890000000000001
OADMET-0006574,5.405
OADMET-0006573,4.775
OADMET-0006570,4.84
OADMET-0006568,5.105
OADMET-0006567,4.835
OADMET-0006566,1.945
OADMET-0006565,4.975
OADMET-0006564,5.13
OADMET-0006561,5.305
OADMET-0006559,4.245
OADMET-0006557,4.63
OADMET-0006555,5.335
OADMET-0006552,5.41
OADMET-0006548,4.0649999999999995
OADMET-0006547,4.925000000000001
OADMET-0006546,6.72
OADMET-0006545,4.96
OADMET-0006544,4.87
OADMET-0006542,5.5649999999999995
OADMET-0006540,5.805
OADMET-0006539,5.390000000000001
OADMET-0006536,4.605
OADMET-0006534,2.8200000000000003
OADMET-0006533,4.655
OADMET-0006532,5.25
OADMET-0006531,5.955
OADMET-0006530,5.445
OADMET-0006529,5.375
OADMET-0006525,4.415
OADMET-0006523,4.76
OADMET-0006522,5.625
OADMET-0006520,4.845000000000001
OADMET-0006517,4.244999999999999
OADMET-0006515,5.23
OADMET-0006514,2.7249999999999996
OADMET-0006511,3.655
OADMET-0006507,4.465
OADMET-0006506,2.2
OADMET-0006504,5.15
OADMET-0006501,4.27
OADMET-0006499,5.0649999999999995
OADMET-0006494,4.295
OADMET-0006490,3.245
OADMET-0006484,5.51
OADMET-0006482,6.035
OADMET-0006477,5.35
OADMET-0006472,1.755
OADMET-0006469,4.58
OADMET-0006468,5.87
OADMET-0006463,5.54
OADMET-0006462,5.550000000000001
OADMET-0006461,5.34
OADMET-0006460,1.98
OADMET-0006458,1.945
OADMET-0006455,6.225
OADMET-0006453,5.135
OADMET-0006452,4.72
OADMET-0006451,5.11
OADMET-0006449,4.465
OADMET-0006445,5.029999999999999
OADMET-0006443,4.6850000000000005
OADMET-0006442,4.75
OADMET-0006441,4.734999999999999
OADMET-0006440,5.165
OADMET-0006439,1.745
OADMET-0006435,2.4749999999999996
OADMET-0006433,1.845
OADMET-0006431,4.005
OADMET-0006430,5.285
OADMET-0006429,5.37
OADMET-0006427,3.38
OADMET-0006424,5.38
OADMET-0006420,6.140000000000001
OADMET-0006418,3.84
OADMET-0006416,6.015
OADMET-0006415,5.505000000000001
OADMET-0006414,3.74
OADMET-0006413,5.995
OADMET-0006412,5.735
OADMET-0006410,2.535
OADMET-0006409,6.005
OADMET-0006408,5.805
OADMET-0006404,5.465
OADMET-0006401,4.74
OADMET-0006400,4.835
OADMET-0006399,5.17
OADMET-0006396,5.779999999999999
OADMET-0006395,5.07
OADMET-0006393,5.3100000000000005
OADMET-0006386,6.26
OADMET-0006385,4.125
OADMET-0006379,2.97
OADMET-0006378,4.859999999999999
OADMET-0006375,4.970000000000001
OADMET-0006374,5.6
OADMET-0006372,4.855
OADMET-0006371,4.895
OADMET-0006369,3.47
OADMET-0006368,5.79
OADMET-0006366,5.915
OADMET-0006363,3.445
OADMET-0006360,5.475
OADMET-0006351,5.58
OADMET-0006350,4.87
OADMET-0006347,5.58
OADMET-0006344,4.195
OADMET-0006341,4.65
OADMET-0006340,5.2
OADMET-0006336,1.805
OADMET-0006335,3.665
OADMET-0006334,4.91
OADMET-0006331,4.88
OADMET-0006328,4.869999999999999
OADMET-0006326,5.24
OADMET-0006324,4.215
OADMET-0006318,5.745
OADMET-0006313,5.07
OADMET-0006311,4.725
OADMET-0006308,4.795
OADMET-0006306,5.24
OADMET-0006305,3.565
OADMET-0006304,5.025
OADMET-0006303,5.875
OADMET-0006302,5.495
OADMET-0006301,5.58
OADMET-0006299,4.725
OADMET-0006298,4.26
OADMET-0006296,5.890000000000001
OADMET-0006294,5.185
OADMET-0006292,4.34
OADMET-0006290,3.2750000000000004
OADMET-0006288,4.98
OADMET-0006287,4.055
OADMET-0006285,3.57
OADMET-0006284,6.08
OADMET-0006283,5.16
OADMET-0006280,5.275
OADMET-0006277,2.505
OADMET-0006275,3.415
OADMET-0006274,4.5600000000000005
OADMET-0006273,5.55
OADMET-0006272,4.824999999999999
OADMET-0006271,5.4
OADMET-0006270,2.765
OADMET-0006268,5.335
OADMET-0006266,2.815
OADMET-0006264,4.275
OADMET-0006262,4.96
OADMET-0006260,3.1100000000000003
OADMET-0006259,5.59
OADMET-0006257,3.58
OADMET-0006256,3.735
OADMET-0006255,5.775
OADMET-0006252,4.6899999999999995
OADMET-0006251,5.445
OADMET-0006249,1.96
OADMET-0006246,3.5700000000000003
OADMET-0006245,5.87
OADMET-0006244,3.875
OADMET-0006237,3.125
OADMET-0006234,5.365
OADMET-0006233,4.515000000000001
OADMET-0006232,4.8149999999999995
OADMET-0006230,3.035
OADMET-0006228,5.470000000000001
OADMET-0006227,3.795
OADMET-0006226,4.955
OADMET-0006225,5.055
OADMET-0006224,2.6100000000000003
OADMET-0006222,3.665
OADMET-0006219,4.949999999999999
OADMET-0006218,5.165
OADMET-0006213,3.475
OADMET-0006210,4.8100000000000005
OADMET-0006209,3.41
OADMET-0006208,5.105
OADMET-0006206,4.02
OADMET-0006204,4.67
OADMET-0006203,4.895
OADMET-0006202,6.0600000000000005
OADMET-0006201,3.995
OADMET-0006200,5.41
OADMET-0006196,4.710000000000001
OADMET-0006192,4.44
OADMET-0006191,4.21
OADMET-0006186,4.84
OADMET-0006185,5.92
OADMET-0006183,3.3200000000000003
OADMET-0006182,5.505
OADMET-0006180,5.86
OADMET-0006176,4.185
OADMET-0006170,4.74
OADMET-0006161,4.34
OADMET-0006160,5.405
OADMET-0006158,3.9
OADMET-0006155,5.25
OADMET-0006151,5.145
OADMET-0006150,4.68
OADMET-0006149,4.66
OADMET-0006148,5.164999999999999
OADMET-0006146,6.345000000000001
OADMET-0006141,5.390000000000001
OADMET-0006140,5.13
OADMET-0006139,4.49
OADMET-0006135,5.4350000000000005
OADMET-0006134,5.59
