OPENADMET_CANONICAL_SMILES,OPENADMET_INCHIKEY
CC1=C(/C=C/C(=O)N[C@@H](CO)C[S@@+]([O-])C[S@+](C)[O-])C(=O)NC(=O)N1,ZIMCIWWBWLSQCN-HCGIDLGCSA-N
O=C1NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(I)=C1F,ATXHATZRJXXACM-UMMCILCDSA-N
COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@@H]2O)[C@@H]2[C@@H](C)[C@@H](O)C[C@H]12,AMBQHHVBBHTQBF-OSEUFVQFSA-N
CS(=O)(=O)NCCNC(=O)[C@@H]1CS[C@@H]2[C@H](O)[C@@H](O)[C@H](O)[C@H](O)C(=O)N21,PRBLDJBTRIOOJA-YCEVYCCKSA-N
CC(=O)N[C@]1(O)[C@H](O)O[C@H](CO[C@@H]2C[C@H](O)[C@H](O)[C@H](CO)O2)[C@@H](O)[C@@H]1O,QHNVYQVNGPNWRK-SCZOXROPSA-N
CC(=O)N[C@@H]1C(O)[C@H](NC(C)=O)[C@@H](OC(C)=O)C(OC(C)=O)[C@H]1OC(C)=O,KQAGNQWUZPAEIG-FNGIGNHCSA-N
C[C@@H](O)[C@H](NC(=O)[C@@H]1CCCN1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(N)=O,UMIXOKDUTWTCDE-MOLYVOAJSA-N
N=C1C=C(N2CCCCC2)N=C(N)N1O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O,WLRKVVVPBPEJRI-HNRZYHPDSA-N
O=C(NNC(=O)[C@@H]1CC[C@H]2CN1C(=O)N2OS(=O)(=O)O)[C@H]1CCCNC1,YCZPXRQPDCXTIO-GUBZILKMSA-N
CC(=O)O[C@H]([C@H](OC(C)=O)[C@@H](OC(C)=O)C(=O)O)[C@@H](OC(C)=O)C(=O)O,RITGLGZGMSTJIQ-WRWGMCAJSA-N
COC(=O)C1=CO[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@H](C)C(=O)C[C@@H]12,LPOVXLVQNSEZGE-MILFQFBUSA-N
CC1=CN([C@H]2CN(C(=O)[C@@H](N)CC(=O)O)C[C@H](O)C[C@]2(C)O)C(=O)NC1=O,HLZRWMHPMRINON-INLINHOESA-N
CC(C)NC[C@H]1O[C@@H]2C[C@H](CC(=O)N3CCS(=O)(=O)CC3)O[C@@H]2[C@@H]1O,OHUIPXWGGGSARE-DFMBRWPFSA-N
NC1=NC(=O)C2=C(N1)N([C@@H]1O[C@@H](CO)[C@@H](O)[C@H]1O)C(OCC1=CC=CC=C1)=N2,RNSGUQLXDMZREX-AYIJCJCZSA-N
C[C@@H](O)[C@H](NC(=O)N[C@@H](CC(N)=O)C1=NC(N2CCNCC2)=NO1)C(=O)O,RKAIKBRLPZSBRN-WEDXCCLWSA-N
O=C1C=CN([C@H]2O[C@@H](CO)[C@@H](O)[C@H]2O)C(=O)N1,DRTQHJPVMGBUCF-IHBLQFBFSA-N
NC(=O)C=NC(=O)C1C[C@@H](O)[C@H](O)[C@H](NS(=O)(=O)C2=CC=CS2)C1,XBNYUBNBMOKZSB-ZRPURHHZSA-N
CSC1=NC(N[C@@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]2O)=C(C(C)=O)C(=O)N1C,UNXWOPQHKJTFCJ-HZRSUTSESA-N
C[C@H]1O[C@@H](OC2[C@@H](O)[C@@H](O)C(O)[C@@H](O)[C@H]2O)[C@@H](N)C[C@H]1N=C(N)C(=O)O,PVTHJAPFENJVNC-FDXZUQFESA-N
NC1=NC(I)=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,MGEBVSZZNFOIRB-FJFJXFQQSA-N
