feature,importance_mean
rdkit_MolLogP,371.0
shape_asphericity,243.0
rdkit_FpDensityMorgan3,214.4
shape_npr1,206.46666666666667
rdkit_MinAbsEStateIndex,200.06666666666666
rdkit_VSA_EState2,198.06666666666666
rdkit_PEOE_VSA8,194.53333333333333
mordred_GATS4d,192.33333333333334
mordred_GATS8d,190.53333333333333
mordred_GATS5c,188.33333333333334
mordred_SLogP,187.2
mordred_GATS6c,184.0
rdkit_PEOE_VSA7,181.86666666666667
mordred_GATS8c,181.66666666666666
rdkit_PEOE_VSA9,180.93333333333334
rdkit_qed,179.33333333333334
mordred_FilterItLogS,179.2
mordred_GATS3c,175.53333333333333
mordred_GATS4s,175.46666666666667
mordred_ATSC1se,175.2
mordred_MATS3c,173.66666666666666
mordred_GATS3s,169.66666666666666
rdkit_EState_VSA3,169.46666666666667
mordred_ATSC3c,168.73333333333332
mordred_GATS7s,168.4
mordred_GATS5s,166.6
rdkit_TPSA,166.33333333333334
mordred_GATS6s,166.0
mordred_ATSC4d,165.93333333333334
mordred_GATS7c,165.93333333333334
mordred_GATS4c,165.33333333333334
mordred_GGI4,164.73333333333332
mordred_GATS8i,164.66666666666666
mordred_MATS8d,163.66666666666666
mordred_GATS8s,163.13333333333333
mordred_GATS6Z,163.0
mordred_ATSC3dv,162.6
mordred_SpDiam_A,162.06666666666666
mordred_ATSC7v,160.06666666666666
mordred_ATSC2d,158.53333333333333
mordred_ATSC8c,158.13333333333333
mordred_MATS1c,155.86666666666667
shape_pmi1,154.93333333333334
shape_pmi2,154.06666666666666
rdkit_FpDensityMorgan2,154.06666666666666
rdkit_VSA_EState3,153.73333333333332
mordred_GATS5Z,153.33333333333334
mordred_GATS8Z,153.13333333333333
mordred_GATS1c,152.93333333333334
mordred_GATS3se,152.2
mordred_ATSC3p,152.13333333333333
mordred_GATS5d,151.66666666666666
rdkit_EState_VSA4,151.53333333333333
vina_score_1,151.26666666666668
mordred_GATS7p,150.86666666666667
mordred_Xc-5dv,150.53333333333333
mordred_GATS3d,150.46666666666667
mordred_VE1_A,150.06666666666666
mordred_GATS7se,149.93333333333334
mordred_AATSC3dv,149.73333333333332
mordred_ATSC5d,148.26666666666668
mordred_ATSC3d,148.06666666666666
mordred_GATS3Z,148.0
mordred_ZMIC3,147.6
rdkit_PEOE_VSA10,147.26666666666668
mordred_ATSC8d,147.2
rdkit_EState_VSA8,146.06666666666666
mordred_GATS4Z,145.8
rdkit_SlogP_VSA2,145.46666666666667
mordred_MATS8c,144.86666666666667
mordred_ATSC3pe,144.86666666666667
rdkit_VSA_EState4,144.73333333333332
mordred_ATSC3se,144.33333333333334
mordred_ATSC8i,144.26666666666668
shape_pmi3,144.13333333333333
rdkit_PEOE_VSA6,143.93333333333334
mordred_GATS5i,143.73333333333332
mordred_ATSC6c,143.66666666666666
mordred_GATS7Z,143.06666666666666
mordred_CIC3,142.6
mordred_ATSC3s,141.93333333333334
rdkit_EState_VSA7,141.93333333333334
rdkit_EState_VSA5,141.6
mordred_Xch-6dv,141.53333333333333
mordred_GATS4dv,140.73333333333332
rdkit_VSA_EState8,140.46666666666667
mordred_ATSC5i,140.2
mordred_GATS4i,140.06666666666666
mordred_ATSC3Z,140.0
mordred_MATS4c,139.93333333333334
rdkit_VSA_EState7,139.73333333333332
mordred_GATS6se,139.53333333333333
mordred_CIC2,139.26666666666668
mordred_CIC4,139.0
mordred_GATS6d,138.93333333333334
mordred_AATSC1i,138.6
mordred_ATSC7i,138.26666666666668
mordred_MATS4s,138.2
rdkit_VSA_EState5,138.13333333333333
mordred_MATS5se,137.8
mordred_AATSC3Z,137.8
mordred_ATSC3i,137.66666666666666
mordred_ATSC5Z,137.53333333333333
mordred_MATS5d,137.26666666666668
mordred_ATSC7c,136.93333333333334
vina_score_mean,136.73333333333332
mordred_ATSC5c,136.06666666666666
mordred_ATSC6d,136.06666666666666
mordred_ATSC2Z,135.93333333333334
mordred_ATSC6s,135.86666666666667
mordred_GATS3p,135.46666666666667
mordred_ATSC5se,135.46666666666667
mordred_GATS7v,135.4
mordred_AATSC8i,135.33333333333334
mordred_GATS7i,135.2
rdkit_SlogP_VSA3,135.0
mordred_ATSC1pe,134.66666666666666
mordred_ATSC4c,134.66666666666666
mordred_AATS5i,133.73333333333332
mordred_MATS6c,132.8
mordred_GATS5p,132.66666666666666
mordred_GATS5se,132.53333333333333
mordred_GATS6i,131.93333333333334
mordred_GATS2s,131.93333333333334
mordred_GATS8dv,131.86666666666667
mordred_MATS7c,131.66666666666666
mordred_SdssC,131.66666666666666
mordred_GATS7d,131.46666666666667
mordred_Xch-7dv,130.93333333333334
mordred_ATSC2c,130.86666666666667
mordred_MDEC-33,130.66666666666666
mordred_GATS7dv,130.66666666666666
mordred_ATSC4i,130.33333333333334
mordred_GATS5v,130.26666666666668
mordred_GATS8se,129.66666666666666
mordred_AATSC0v,129.53333333333333
rdkit_EState_VSA6,129.06666666666666
mordred_ATSC5p,129.06666666666666
mordred_GATS1s,128.93333333333334
mordred_GATS8p,128.93333333333334
mordred_GATS3i,128.8
mordred_GATS3dv,128.73333333333332
mordred_SaasC,128.4
mordred_ATSC4dv,128.4
rdkit_SMR_VSA6,128.2
mordred_AATSC7i,128.0
mordred_GATS4se,127.86666666666666
mordred_ATSC7d,127.6
mordred_AMID_N,127.46666666666667
mordred_ATSC4s,127.13333333333334
rdkit_SlogP_VSA5,126.73333333333333
mordred_MATS2se,126.46666666666667
mordred_ATSC3v,126.33333333333333
rdkit_EState_VSA2,125.46666666666667
mordred_MATS5c,125.33333333333333
mordred_MATS7se,125.13333333333334
mordred_GATS3v,125.06666666666666
mordred_GATS2i,124.86666666666666
mordred_GATS1se,124.8
mordred_ATSC7p,124.73333333333333
mordred_ATSC8dv,124.66666666666667
mordred_GATS4p,124.53333333333333
mordred_AATSC5i,124.46666666666667
mordred_GATS2c,124.33333333333333
mordred_AATS6i,124.33333333333333
mordred_AATS3i,124.26666666666667
mordred_ATS5Z,124.2
rdkit_AvgIpc,124.13333333333334
mordred_AATSC2Z,123.86666666666666
mordred_IC2,123.6
rdkit_PEOE_VSA2,123.33333333333333
mordred_ATSC8s,122.93333333333334
mordred_AATS8i,122.86666666666666
mordred_MINaasC,122.73333333333333
mordred_ATSC6i,122.66666666666667
mordred_ATSC2i,122.4
mordred_IC3,122.4
rdkit_MaxAbsEStateIndex,122.26666666666667
mordred_GGI8,122.26666666666667
mordred_ATSC8p,121.93333333333334
mordred_ZMIC2,121.8
rdkit_FpDensityMorgan1,121.66666666666667
mordred_ATSC2dv,121.66666666666667
mordred_GATS8v,121.33333333333333
mordred_ATSC7dv,121.06666666666666
mordred_AATSC5v,121.06666666666666
mordred_ATSC5v,121.0
mordred_GATS6p,120.93333333333334
mordred_AATSC6i,120.8
mordred_AATSC3i,120.66666666666667
mordred_MATS4i,120.66666666666667
mordred_AATSC5Z,120.53333333333333
rdkit_SMR_VSA5,120.26666666666667
mordred_ATSC7s,120.06666666666666
mordred_TopoPSA,120.0
mordred_AATS1i,119.86666666666666
mordred_AATSC3s,119.73333333333333
mordred_Xch-7d,119.6
mordred_ATSC5dv,119.4
mordred_MATS6d,119.26666666666667
mordred_BCUTd-1h,119.26666666666667
mordred_ATSC8v,119.13333333333334
mordred_ATSC8se,119.13333333333334
mordred_ATSC6Z,119.0
mordred_MAXaasC,118.93333333333334
mordred_AATSC6s,118.8
rdkit_PEOE_VSA1,118.46666666666667
mordred_GATS6dv,118.46666666666667
mordred_MATS5p,118.4
mordred_AATSC4dv,118.2
mordred_ATSC4p,118.13333333333334
mordred_ATSC1c,118.06666666666666
mordred_GATS5dv,118.06666666666666
mordred_AMID_O,118.0
mordred_Xc-5d,118.0
mordred_ATSC6dv,117.6
mordred_GGI9,117.53333333333333
mordred_ATSC5s,117.46666666666667
mordred_ATSC2p,117.46666666666667
mordred_ATSC6se,117.2
mordred_GATS2Z,117.13333333333334
mordred_MATS4se,116.8
mordred_ATSC1i,116.26666666666667
mordred_AATSC7Z,116.13333333333334
mordred_MATS7Z,115.93333333333334
mordred_ATSC1p,115.86666666666666
mordred_ATSC7se,115.73333333333333
mordred_GATS1dv,115.0
mordred_MATS5s,114.6
mordred_GATS2p,114.53333333333333
mordred_ATSC7Z,113.8
mordred_MATS7p,113.73333333333333
mordred_AATSC4i,113.4
mordred_ATSC6p,113.4
mordred_MATS1d,113.13333333333334
rdkit_SMR_VSA10,113.06666666666666
mordred_ATSC8Z,112.86666666666666
mordred_VR1_A,112.8
mordred_GATS1pe,112.66666666666667
mordred_AATSC4s,112.4
mordred_GGI6,112.33333333333333
mordred_MATS6se,112.26666666666667
mordred_AATSC7v,112.0
mordred_AATSC7s,112.0
mordred_AATS8s,111.8
mordred_ATSC4Z,111.53333333333333
mordred_AATSC8dv,111.53333333333333
mordred_GGI3,111.46666666666667
mordred_ATSC4v,111.46666666666667
mordred_IC1,111.4
mordred_MATS7d,110.86666666666666
mordred_AATS4i,110.46666666666667
mordred_ATSC1v,110.4
mordred_AATSC6v,110.33333333333333
mordred_AATSC2dv,110.13333333333334
mordred_ATSC4se,110.06666666666666
mordred_AATSC1dv,109.93333333333334
mordred_MATS2c,109.93333333333334
mordred_ATSC2v,109.6
mordred_MATS6s,109.53333333333333
mordred_GGI7,109.46666666666667
mordred_AATSC6Z,108.86666666666666
mordred_ATSC0c,108.86666666666666
mordred_ATSC2se,108.8
mordred_AATSC3v,108.33333333333333
mordred_MATS3i,108.33333333333333
mordred_GATS2d,108.33333333333333
mordred_GATS4v,108.06666666666666
mordred_ATSC6v,107.8
mordred_GGI5,107.4
mordred_MATS8se,107.0
mordred_AATSC4v,106.8
mordred_AATSC5dv,106.8
mordred_Xc-3dv,106.6
mordred_MATS4Z,106.53333333333333
mordred_AATS7se,106.2
rdkit_SPS,106.2
mordred_GATS6v,106.06666666666666
mordred_BCUTi-1l,105.6
mordred_Xch-6d,105.53333333333333
mordred_AATS7i,105.46666666666667
mordred_AATS2i,105.2
mordred_AATS8d,105.0
mordred_BCUTs-1l,105.0
mordred_ATSC1d,104.73333333333333
mordred_MATS5Z,104.4
mordred_MATS6i,104.4
rdkit_VSA_EState6,104.4
mordred_MATS7s,104.06666666666666
mordred_AATSC4Z,103.8
mordred_AATS5s,103.66666666666667
mordred_GATS1d,103.6
mordred_GATS2v,102.93333333333334
mordred_AATSC8v,102.53333333333333
mordred_PEOE_VSA8,102.53333333333333
mordred_AATSC7dv,102.26666666666667
rdkit_BalabanJ,102.0
mordred_AATS8se,102.0
rdkit_Kappa3,101.86666666666666
mordred_MATS8p,101.8
mordred_MATS8Z,101.8
mordred_MATS4p,101.66666666666667
mordred_MATS6Z,101.33333333333333
mordred_AATS6se,101.26666666666667
mordred_VR3_A,101.2
mordred_GATS2se,100.93333333333334
mordred_BalabanJ,100.86666666666666
mordred_AATS5p,100.46666666666667
mordred_MDEC-22,100.4
mordred_GATS1i,100.33333333333333
rdkit_VSA_EState1,100.2
mordred_ATSC1Z,100.13333333333334
mordred_AATS6s,100.0
mordred_GATS2dv,99.8
mordred_AATSC5s,99.6
mordred_SpMAD_DzZ,99.53333333333333
mordred_MATS2p,99.2
mordred_AATSC6dv,98.93333333333334
mordred_AATSC8Z,98.8
mordred_AATSC1v,98.33333333333333
mordred_SpMAD_Dt,98.06666666666666
mordred_AATSC8s,97.46666666666667
rdkit_SMR_VSA3,97.06666666666666
mordred_AATS5d,96.8
mordred_BCUTdv-1h,96.46666666666667
mordred_AATSC2i,96.46666666666667
mordred_AATS8Z,96.26666666666667
mordred_ATS7s,95.33333333333333
mordred_AATS8dv,95.13333333333334
mordred_MATS2s,95.0
mordred_MATS8s,94.86666666666666
mordred_AATS7d,94.86666666666666
mordred_CIC1,94.8
mordred_VSA_EState2,94.6
mordred_ATS7dv,94.6
mordred_AATS6d,94.46666666666667
rdkit_EState_VSA9,94.33333333333333
mordred_TSRW10,94.26666666666667
mordred_AATS7s,94.2
mordred_ATSC1s,94.13333333333334
mordred_AMID_h,94.0
mordred_AATS4p,93.86666666666666
mordred_ATS6s,93.66666666666667
